id,solution
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,0
11,0
12,1
13,0
14,0
15,1
16,0
17,1
18,1
19,0
20,1
21,0
22,0
23,0
24,0
25,1
26,1
27,0
28,0
29,1
30,0
31,1
32,1
33,0
34,1
35,0
36,1
37,0
38,0
39,1
40,0
41,0
42,1
43,0
44,1
45,1
46,1
47,0
48,0
49,1
50,0
51,0
52,1
53,0
54,0
55,0
56,1
57,0
58,0
59,0
60,0
61,0
62,1
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,0
71,1
72,1
73,0
74,0
75,1
76,1
77,0
78,1
79,0
80,0
81,0
82,1
83,0
84,1
85,0
86,0
87,1
88,1
89,1
90,0
91,0
92,1
93,0
94,0
95,1
96,0
97,1
98,1
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,1
108,1
109,0
110,0
111,1
112,0
113,0
114,1
115,0
116,1
117,1
118,0
119,0
120,0
121,1
122,0
123,1
124,1
125,1
126,0
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,1
135,0
136,0
137,1
138,1
139,0
140,0
141,0
142,0
143,1
144,0
145,1
146,0
147,0
148,1
149,1
150,0
151,1
152,0
153,0
154,1
155,0
156,0
157,0
158,1
159,0
160,1
161,1
162,0
163,1
164,1
165,0
166,0
167,0
168,1
169,0
170,0
171,0
172,1
173,0
174,0
175,0
176,0
177,1
178,1
179,1
